Province_State,Country_Region,Date,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Active_Diff
Prince Edward Island,Canada,1/20/2025,46.5107,-63.4168,21307,16,,0.0,0.0
Quebec,Canada,1/20/2025,52.9399,-73.5491,945503,14265,,0.0,0.0
Repatriated Travellers,Canada,1/20/2025,,,13,0,,0.0,0.0
Saskatchewan,Canada,1/20/2025,52.9399,-106.4509,130133,1176,,0.0,0.0
Yukon,Canada,1/20/2025,64.2823,-135.0,3665,23,,0.0,0.0
,Central African Republic,1/20/2025,6.6111,20.9394,14649,113,,0.0,0.0
,Chad,1/20/2025,15.4542,18.7322,7286,190,,0.0,0.0
Antofagasta,Chile,1/20/2025,-23.6509,-70.3975,119314,1729,,0.0,0.0
Araucania,Chile,1/20/2025,-38.9489,-72.3311,207565,2457,,0.0,0.0
Arica y Parinacota,Chile,1/20/2025,-18.594,-69.4785,54250,802,,0.0,0.0
Atacama,Chile,1/20/2025,-27.5661,-70.0503,63273,561,,0.0,0.0
Aysen,Chile,1/20/2025,-45.9864,-73.7669,23908,169,,0.0,0.0
Biobio,Chile,1/20/2025,-37.4464,-72.1416,336270,4087,,0.0,0.0
Coquimbo,Chile,1/20/2025,-29.959,-71.3389,120065,1610,,0.0,0.0
Los Lagos,Chile,1/20/2025,-41.9198,-72.1416,187974,2228,,0.0,0.0
Los Rios,Chile,1/20/2025,-40.231,-72.3311,102790,1161,,0.0,0.0
Magallanes,Chile,1/20/2025,-52.368,-70.9863,49616,692,,0.0,0.0
Maule,Chile,1/20/2025,-35.5183,-71.6885,228006,2749,,0.0,0.0
Metropolitana,Chile,1/20/2025,-33.4376,-70.6505,1300866,27746,,0.0,0.0
Nuble,Chile,1/20/2025,-36.7226,-71.7622,95260,1044,,0.0,0.0
OHiggins,Chile,1/20/2025,-34.5755,-71.0022,142854,2433,,0.0,0.0
Tarapaca,Chile,1/20/2025,-19.9232,-69.5132,78412,1074,,0.0,0.0
Unknown,Chile,1/20/2025,,,43,2,,0.0,0.0
Valparaiso,Chile,1/20/2025,-33.0472,-71.6127,290679,5421,,0.0,0.0
Anhui,China,1/20/2025,31.8257,117.2264,1024,6,,0.0,0.0
Beijing,China,1/20/2025,40.1824,116.4142,1733,9,,0.0,0.0
Chongqing,China,1/20/2025,30.0572,107.874,686,6,,0.0,0.0
Fujian,China,1/20/2025,26.0789,117.9874,2522,1,,0.0,0.0
Gansu,China,1/20/2025,35.7518,104.2861,657,2,,0.0,0.0
Guangdong,China,1/20/2025,23.3417,113.4244,6461,8,,0.0,0.0
Guangxi,China,1/20/2025,23.8298,108.7881,1383,2,,0.0,0.0
Guizhou,China,1/20/2025,26.8154,106.8748,171,2,,0.0,0.0
Hainan,China,1/20/2025,19.1959,109.7453,193,6,,0.0,0.0
Hebei,China,1/20/2025,37.8957,114.9042,1858,7,,0.0,0.0
Heilongjiang,China,1/20/2025,47.862,127.7615,2289,13,,0.0,0.0
Henan,China,1/20/2025,33.882,113.614,2726,22,,0.0,0.0
Hong Kong,China,1/20/2025,22.3,114.2,1061758,6119,,0.0,0.0
Hubei,China,1/20/2025,30.9756,112.2707,68391,4512,,0.0,0.0
Hunan,China,1/20/2025,27.6104,111.7088,1289,4,,0.0,0.0
Inner Mongolia,China,1/20/2025,44.0935,113.9448,1677,1,,0.0,0.0
Jiangsu,China,1/20/2025,32.9711,119.455,1981,0,,0.0,0.0
Jiangxi,China,1/20/2025,27.614,115.7221,983,1,,0.0,0.0
Jilin,China,1/20/2025,43.6661,126.1923,15093,5,,0.0,0.0
Liaoning,China,1/20/2025,41.2956,122.6085,1448,2,,0.0,0.0
Macau,China,1/20/2025,22.1667,113.55,82,0,,0.0,0.0
Ningxia,China,1/20/2025,37.2692,106.1655,122,0,,0.0,0.0
Qinghai,China,1/20/2025,35.7452,95.9956,32,0,,0.0,0.0
Shaanxi,China,1/20/2025,35.1917,108.8701,3205,3,,0.0,0.0
Shandong,China,1/20/2025,36.3427,118.1498,2482,7,,0.0,0.0
Shanghai,China,1/20/2025,31.202,121.4491,5066,7,,0.0,0.0
Shanxi,China,1/20/2025,37.5777,112.2922,295,0,,0.0,0.0
Sichuan,China,1/20/2025,30.6171,102.7103,1599,3,,0.0,0.0
Tianjin,China,1/20/2025,39.3054,117.323,1631,3,,0.0,0.0
Tibet,China,1/20/2025,31.6927,88.0924,1,0,,0.0,0.0
Unknown,China,1/20/2025,,,34381,0,,0.0,0.0
Xinjiang,China,1/20/2025,41.1129,85.2401,996,3,,0.0,0.0
Yunnan,China,1/20/2025,24.974,101.487,2049,2,,0.0,0.0
Zhejiang,China,1/20/2025,29.1832,120.0934,2619,1,,0.0,0.0
Amazonas,Colombia,1/20/2025,-1.4429,-71.5724,7563,264,,0.0,0.0
Antioquia,Colombia,1/20/2025,7.1986,-75.3412,917492,18225,,0.0,0.0
Arauca,Colombia,1/20/2025,7.0762,-70.7105,16286,528,,0.0,0.0
Atlantico,Colombia,1/20/2025,10.6966,-74.8741,401935,10122,,0.0,0.0
Bolivar,Colombia,1/20/2025,8.6704,-74.03,197027,3238,,0.0,0.0
Boyaca,Colombia,1/20/2025,5.4545,-73.362,125083,2776,,0.0,0.0
Caldas,Colombia,1/20/2025,5.2983,-75.2479,116859,2525,,0.0,0.0
Capital District,Colombia,1/20/2025,4.711,-74.0721,1764710,29307,,0.0,0.0
Caqueta,Colombia,1/20/2025,0.8699,-73.8419,24941,1022,,0.0,0.0
Casanare,Colombia,1/20/2025,5.7589,-71.5724,41607,996,,0.0,0.0
Cauca,Colombia,1/20/2025,2.705,-76.82600000000002,72177,1786,,0.0,0.0
Cesar,Colombia,1/20/2025,9.3373,-73.6536,106345,2667,,0.0,0.0
Choco,Colombia,1/20/2025,5.2528,-76.82600000000002,18582,426,,0.0,0.0
Cordoba,Colombia,1/20/2025,8.0493,-75.574,118968,3929,,0.0,0.0
Cundinamarca,Colombia,1/20/2025,5.026,-74.03,317810,7269,,0.0,0.0
Guainia,Colombia,1/20/2025,2.5854,-68.5247,2757,37,,0.0,0.0
Guaviare,Colombia,1/20/2025,1.0654,-73.2603,5584,105,,0.0,0.0
Huila,Colombia,1/20/2025,2.5359,-75.5277,100254,3507,,0.0,0.0
La Guajira,Colombia,1/20/2025,11.3548,-72.5205,56250,1523,,0.0,0.0
Magdalena,Colombia,1/20/2025,10.4113,-74.4057,114752,3620,,0.0,0.0
Meta,Colombia,1/20/2025,3.272,-73.0877,104908,2535,,0.0,0.0
Narino,Colombia,1/20/2025,1.2892,-77.3579,104385,3305,,0.0,0.0
Norte de Santander,Colombia,1/20/2025,7.9463,-72.8988,119571,5076,,0.0,0.0
Putumayo,Colombia,1/20/2025,0.436,-75.5277,20468,771,,0.0,0.0
Quindio,Colombia,1/20/2025,4.461,-75.6674,70771,2053,,0.0,0.0
Risaralda,Colombia,1/20/2025,5.3158,-75.9928,106264,2466,,0.0,0.0
San Andres y Providencia,Colombia,1/20/2025,12.5567,-81.7185,10170,154,,0.0,0.0
Santander,Colombia,1/20/2025,6.6437,-73.6536,282881,8152,,0.0,0.0
Sucre,Colombia,1/20/2025,8.814,-74.7233,65636,1714,,0.0,0.0
Tolima,Colombia,1/20/2025,4.0925,-75.1545,124268,3996,,0.0,0.0
Unknown,Colombia,1/20/2025,,,0,300,,0.0,0.0
Valle del Cauca,Colombia,1/20/2025,3.8009,-76.6413,540054,14997,,0.0,0.0
Vaupes,Colombia,1/20/2025,0.8554,-70.812,1887,19,,0.0,0.0
Vichada,Colombia,1/20/2025,4.4234,-69.2878,3394,61,,0.0,0.0
,Comoros,1/20/2025,-11.6455,43.3333,8077,160,,0.0,0.0
,Congo (Brazzaville),1/20/2025,-0.228,15.8277,24062,384,,0.0,0.0
,Congo (Kinshasa),1/20/2025,-4.0383,21.7587,86461,1335,,0.0,0.0
,Costa Rica,1/20/2025,9.7489,-83.7534,831152,8244,,0.0,0.0
,Cote d'Ivoire,1/20/2025,7.54,-5.5471,81667,796,,0.0,0.0
,Croatia,1/20/2025,45.1,15.2,1084304,15451,,0.0,0.0
,Cuba,1/20/2025,21.521757,-77.78116700000002,1082201,8507,,0.0,0.0
,Cyprus,1/20/2025,35.1264,33.4299,382642,920,,0.0,0.0
,Czechia,1/20/2025,49.8175,15.473,3740174,39374,,0.0,0.0
Faroe Islands,Denmark,1/20/2025,61.8926,-6.9118,34658,28,,0.0,0.0
Greenland,Denmark,1/20/2025,71.7069,-42.6043,11936,20,,0.0,0.0
,Denmark,1/20/2025,56.2639,9.5018,3010128,5430,,0.0,0.0
,Diamond Princess,1/20/2025,,,712,13,,0.0,0.0
,Djibouti,1/20/2025,11.8251,42.5903,15573,189,,0.0,0.0
,Dominica,1/20/2025,15.415,-61.371,11745,62,,0.0,0.0
,Dominican Republic,1/20/2025,18.7357,-70.1627,577354,4375,,0.0,0.0
,Ecuador,1/20/2025,-1.8312,-78.1834,854252,35410,,0.0,0.0
,Egypt,1/20/2025,26.820553000000004,30.802498,500889,24361,,0.0,0.0
,El Salvador,1/20/2025,13.7942,-88.8965,161052,4113,,0.0,0.0
,Equatorial Guinea,1/20/2025,1.6508,10.2679,15899,183,,0.0,0.0
,Eritrea,1/20/2025,15.1794,39.7823,9723,103,,0.0,0.0
,Estonia,1/20/2025,58.5953,25.0136,543053,2397,,0.0,0.0
,Eswatini,1/20/2025,-26.5225,31.4659,69563,1392,,0.0,0.0
,Ethiopia,1/20/2025,9.145,40.4897,469469,7489,,0.0,0.0
,Fiji,1/20/2025,-17.7134,178.065,64327,834,,0.0,0.0
,Finland,1/20/2025,61.92411,25.748151,812017,2881,,0.0,0.0
French Guiana,France,1/20/2025,4.0,-53.0,78326,394,,0.0,0.0
French Polynesia,France,1/20/2025,-17.6797,-149.4068,71469,645,,0.0,0.0
Guadeloupe,France,1/20/2025,16.265,-61.551,132359,928,,0.0,0.0
Martinique,France,1/20/2025,14.6415,-61.0242,138039,909,,0.0,0.0
Mayotte,France,1/20/2025,-12.8275,45.166244,36800,187,,0.0,0.0
New Caledonia,France,1/20/2025,-20.904305,165.618042,59997,307,,0.0,0.0
Reunion,France,1/20/2025,-21.1151,55.5364,318695,689,,0.0,0.0
Saint Barthelemy,France,1/20/2025,17.9,-62.8333,3805,6,,0.0,0.0
Saint Pierre and Miquelon,France,1/20/2025,46.8852,-56.3159,1693,1,,0.0,0.0
St Martin,France,1/20/2025,18.0708,-63.0501,9939,63,,0.0,0.0
Wallis and Futuna,France,1/20/2025,-14.2938,-178.1165,454,7,,0.0,0.0
,France,1/20/2025,46.2276,2.2137,23496196,137978,,0.0,0.0
,Gabon,1/20/2025,-0.8037,11.6094,47581,303,,0.0,0.0
,Gambia,1/20/2025,13.4432,-15.3101,11978,365,,0.0,0.0
